   1123 の	助詞,接続助詞,*,*,の,の,*
    543 に	助詞,格助詞,*,*,に,に,*
    493 世界	名詞,普通名詞,*,*,世界,せかい,代表表記:世界/せかい カテゴリ:場所-その他
    468 は	助詞,副助詞,*,*,は,は,*
    452 を	助詞,格助詞,*,*,を,を,*
    394 、	特殊,読点,*,*,、,、,*
    379 と	助詞,格助詞,*,*,と,と,*
    362 異	名詞,普通名詞,*,*,異,い,代表表記:異/い 漢字読み:音 カテゴリ:抽象物
    314 ～	特殊,記号,*,*,*,*,*
    283 が	助詞,格助詞,*,*,が,が,*
    258 で	助詞,格助詞,*,*,で,で,*
    242 ！	特殊,記号,*,*,！,！,*
    209 〜	特殊,記号,*,*,〜,〜,*
    197 。	特殊,句点,*,*,。,。,*
    180 転生	名詞,サ変名詞,*,*,転生,てんせい,代表表記:転生/てんせい カテゴリ:抽象物
    137 　	特殊,空白,*,*,　,　,*
    133 ・	特殊,記号,*,*,・,・,*
    130 俺	名詞,普通名詞,*,*,俺,おれ,代表表記:俺/おれ カテゴリ:人
    109 ます	接尾辞,動詞性接尾辞,動詞性接尾辞ます型,基本形,ます,ます,代表表記:ます/ます
    103 者	接尾辞,名詞性名詞接尾辞,*,*,者,しゃ,代表表記:者/しゃ 内容語 カテゴリ:人
     98 ？	特殊,記号,*,*,？,？,*
     92 勇者	名詞,普通名詞,*,*,勇者,ゆうしゃ,代表表記:勇者/ゆうしゃ カテゴリ:人
     91 少女	名詞,普通名詞,*,*,少女,しょうじょ,代表表記:少女/しょうじょ カテゴリ:人
     90 ない	接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形,ない,ない,代表表記:ない/ない
     86 する	動詞,*,サ変動詞,基本形,する,する,代表表記:する/する 付属動詞候補（基本） 自他動詞:自:成る/なる
     85 　～	特殊,記号,*,*,*,*,*
     84 れた	接尾辞,動詞性接尾辞,母音動詞,タ形,れる,れた,代表表記:れる/れる
     84 も	助詞,副助詞,*,*,も,も,*
     79 して	動詞,*,サ変動詞,タ系連用テ形,する,して,代表表記:する/する 付属動詞候補（基本） 自他動詞:自:成る/なる
     75 魔王	名詞,普通名詞,*,*,魔王,魔王,自動獲得:テキスト 意味分類:人:0.959
     74 ました	接尾辞,動詞性接尾辞,動詞性接尾辞ます型,タ形,ます,ました,代表表記:ます/ます
     74 した	動詞,*,サ変動詞,タ形,する,した,代表表記:する/する 付属動詞候補（基本） 自他動詞:自:成る/なる
     73 か	助詞,接続助詞,*,*,か,か,*
     72 さ	動詞,*,サ変動詞,未然形,する,さ,代表表記:する/する 付属動詞候補（基本） 自他動詞:自:成る/なる
     71 ）	特殊,括弧終,*,*,）,）,*
     69 令嬢	名詞,普通名詞,*,*,令嬢,れいじょう,代表表記:令嬢/れいじょう カテゴリ:人 ドメイン:家庭・暮らし
     69 （	特殊,括弧始,*,*,（,（,*
     66 魔法	名詞,普通名詞,*,*,魔法,まほう,代表表記:魔法/まほう カテゴリ:抽象物
